micros,ax,ay,az,gx,gy,gz
264004,-5072,-4184,16112,-1233,-451,-10370
266000,-5028,-4152,15952,-1118,-650,-10422
268000,-4960,-4136,15972,-1045,-811,-10427
270000,-4968,-4084,15960,-927,-975,-10409
272000,-4924,-4096,16000,-804,-1115,-10418
274004,-4804,-4064,15936,-785,-1283,-10396
276000,-4724,-3932,16000,-659,-1412,-10408
278000,-4640,-3940,15924,-604,-1524,-10363
280000,-4520,-3856,15868,-515,-1596,-10279
282000,-4484,-3788,15752,-433,-1618,-10326
284000,-4360,-3760,15692,-395,-1684,-10214
286000,-4236,-3780,15540,-369,-1633,-10164
288000,-4060,-3720,15456,-316,-1662,-10133
290000,-3896,-3656,15116,-323,-1608,-10095
292000,-3752,-3656,14920,-278,-1520,-10051
294000,-3620,-3780,14792,-306,-1390,-10038
296004,-3476,-3800,14704,-233,-1236,-10050
298000,-3536,-3856,14692,-233,-995,-10086
300000,-3416,-3924,14572,-205,-751,-10169
302000,-3480,-3988,14692,-195,-506,-10247
304000,-3536,-4188,14768,-159,-234,-10396
306000,-3612,-4268,14736,-154,54,-10565
308000,-3760,-4356,14724,-124,275,-10756
310000,-3852,-4420,14796,-97,539,-10908
312000,-3980,-4416,14732,-118,770,-11135
314000,-4140,-4580,14892,-128,982,-11349
316000,-4288,-4632,14984,-155,1152,-11572
318000,-4368,-4676,15028,-164,1324,-11768
320000,-4452,-4712,15200,-157,1518,-12005
322000,-4568,-4780,15436,-163,1623,-12240
324000,-4548,-4764,15476,-197,1746,-12500
326000,-4672,-4724,15576,-152,1823,-12736
328000,-4816,-4808,15688,-137,1837,-12981
330000,-4860,-4732,15640,-170,1899,-13242
332000,-4952,-4836,15680,-143,1866,-13492
334000,-4912,-4752,15656,-81,1912,-13718
336000,-4780,-4740,15680,-94,1892,-13956
338000,-4784,-4768,15704,-53,1863,-14169
340004,-4760,-4732,15624,-50,1885,-14371
342000,-4716,-4756,15596,-45,1934,-14523
344004,-4744,-4664,15548,-15,1932,-14667
346000,-4744,-4596,15600,29,1918,-14866
348000,-4648,-4584,15588,50,1932,-14980
350000,-4648,-4616,15372,56,1914,-15087
352000,-4652,-4684,15500,86,1950,-15203
354000,-4612,-4748,15320,95,1972,-15273
356000,-4504,-4780,15480,132,1925,-15344
358000,-4488,-4804,15476,94,1913,-15400
360000,-4352,-4828,15492,126,1873,-15428
362000,-4264,-4880,15400,95,1823,-15464
364000,-4204,-4812,15488,72,1744,-15486
366000,-4012,-4868,15372,69,1672,-15490
368000,-3976,-4872,15440,15,1618,-15510
370000,-3812,-4892,15516,32,1566,-15484
372000,-3748,-4848,15440,-18,1472,-15486
374000,-3676,-4860,15524,-52,1363,-15413
376000,-3672,-4760,15372,-73,1215,-15364
378000,-3612,-4740,15476,-83,1173,-15348
380000,-3464,-4632,15532,-126,1056,-15270
382000,-3500,-4600,15652,-183,939,-15186
384000,-3388,-4592,15596,-215,808,-15073
386000,-3388,-4552,15508,-244,766,-14984
388004,-3248,-4436,15468,-324,736,-14897
390000,-3372,-4512,15624,-337,687,-14770
392004,-3348,-4552,15488,-417,585,-14615
394000,-3228,-4472,15612,-472,458,-14546
396000,-3300,-4556,15492,-532,321,-14406
398000,-3244,-4592,15364,-555,243,-14295
400000,-3196,-4664,15360,-689,149,-14201
402004,-3232,-4708,15224,-798,155,-14101
404000,-3164,-4812,15276,-881,145,-14043
406000,-3160,-4860,15376,-997,119,-14004
408000,-3312,-5012,15540,-1091,40,-13928
410000,-3260,-5176,15452,-1197,-71,-13898
412000,-3352,-5172,15408,-1369,-88,-13891
414000,-3304,-5268,15356,-1519,-102,-13890
416000,-3288,-5344,15392,-1642,-97,-13868
418000,-3372,-5388,15280,-1800,-81,-13825
420000,-3408,-5416,15344,-1950,-60,-13820
422000,-3404,-5448,15148,-2088,6,-13837
424004,-3484,-5360,15148,-2272,69,-13812
426000,-3456,-5420,15024,-2342,91,-13781
428000,-3456,-5372,15120,-2506,103,-13780
430000,-3408,-5260,14996,-2587,145,-13719
