micros,ax,ay,az,gx,gy,gz
336004,-924,740,16628,97,-263,-12
338000,-968,732,16640,105,-301,7
340000,-916,720,16604,126,-290,-19
342000,-880,708,16656,136,-298,13
344000,-892,720,16652,102,-300,-40
346004,-904,704,16720,85,-297,-37
348000,-940,720,16680,116,-289,-6
350000,-952,756,16616,153,-267,-19
352000,-912,688,16624,133,-316,-9
354000,-872,692,16720,104,-310,8
356000,-924,652,16656,126,-293,-37
358000,-944,672,16564,120,-272,4
360000,-908,720,16612,121,-281,-18
362000,-968,692,16600,113,-276,-37
364000,-888,692,16656,111,-296,-6
366000,-892,684,16652,99,-296,-4
368000,-912,768,16632,113,-282,-18
370000,-848,724,16648,130,-302,-7
372000,-916,700,16696,121,-304,-5
374008,-920,728,16560,112,-317,-26
376000,-912,652,16640,120,-280,-14
378000,-856,704,16624,87,-299,-25
380000,-904,744,16612,114,-296,-28
382000,-872,688,16692,118,-274,-5
384000,-1004,696,16716,90,-277,-31
386000,-956,672,16720,102,-274,-17
388000,-900,624,16612,129,-308,-37
390000,-952,688,16644,141,-304,-44
392000,-968,732,16680,107,-292,-16
394004,-936,716,16608,125,-277,-10
396000,-956,680,16692,118,-291,-31
398000,-940,660,16584,118,-292,-19
400000,-972,732,16696,133,-296,-11
402000,-924,728,16672,128,-285,-47
404000,-996,692,16820,89,-306,-5
406000,-920,704,16780,105,-280,-3
408000,-952,672,16632,134,-304,-15
410004,-928,720,16756,110,-304,-24
412000,-940,608,16552,113,-265,-42
414000,-920,696,16688,146,-280,4
416000,-936,716,16664,99,-270,-20
418000,-912,736,16652,110,-275,-32
420000,-928,644,16672,132,-302,7
422000,-932,712,16636,123,-319,8
424000,-908,748,16672,115,-279,-29
426000,-984,660,16620,100,-285,-9
428000,-952,744,16620,145,-305,-29
430000,-916,700,16696,111,-339,-45
432000,-868,676,16596,103,-334,-23
434000,-884,724,16652,116,-311,-15
436000,-880,716,16608,121,-288,-23
438000,-892,696,16672,97,-317,-29
440004,-908,668,16616,144,-293,-37
442004,-876,720,16692,133,-325,-6
444004,-860,744,16636,129,-282,-45
446000,-840,720,16676,107,-267,-4
448000,-904,684,16576,94,-307,-40
450004,-924,708,16780,101,-326,-8
452000,-932,708,16716,125,-272,-45
454000,-972,700,16640,114,-314,3
456000,-924,692,16652,100,-314,-6
458004,-916,680,16692,124,-291,-12
460000,-900,728,16668,121,-298,-14
462000,-880,692,16672,101,-307,-22
464004,-920,748,16652,120,-310,-16
466000,-952,688,16728,114,-281,-7
468000,-960,680,16668,115,-294,15
470000,-892,724,16784,127,-308,5
472000,-972,616,16704,88,-289,-15
474000,-924,676,16640,110,-286,-27
476000,-892,704,16608,112,-308,4
478000,-944,780,16572,130,-260,-29
480000,-888,744,16596,114,-285,-24
482000,-856,736,16576,122,-286,-44
484000,-936,716,16672,145,-287,16
486000,-912,752,16636,123,-269,-6
488000,-920,740,16688,131,-295,-15
490000,-908,744,16620,121,-287,-32
492000,-896,668,16680,124,-274,1
494000,-932,740,16664,127,-279,11
496000,-916,688,16600,119,-312,-38
498000,-948,684,16688,65,-280,-33
500000,-916,764,16752,141,-280,-16
502004,-940,696,16656,141,-281,-8
504000,-960,728,16772,109,-322,1
506000,-932,676,16692,139,-278,-40
508000,-852,708,16624,125,-310,-44
510000,-876,688,16780,123,-279,-36
512000,-876,664,16592,111,-298,19
514000,-904,720,16616,103,-307,-8
516000,-912,700,16724,135,-302,-14
518000,-952,708,16672,120,-294,-42
520000,-844,688,16672,121,-286,-2
522000,-916,696,16676,148,-269,-8
524000,-948,624,16580,144,-297,-21
526000,-972,636,16708,108,-267,-15
528000,-888,628,16648,112,-287,-15
530000,-948,632,16764,114,-294,-52
532000,-952,708,16624,126,-307,-62
534000,-940,724,16624,101,-282,3
536000,-896,712,16684,147,-282,-50
538004,-944,688,16732,63,-272,-31
540000,-908,680,16616,107,-323,-26
542000,-972,704,16748,109,-295,-31
544000,-912,676,16664,116,-301,-32
546000,-932,644,16752,135,-302,-6
548000,-976,700,16768,97,-270,-10
550000,-956,692,16680,134,-275,-18
552000,-896,708,16608,132,-324,-12
554000,-820,644,16588,116,-283,-23
556000,-912,672,16676,111,-294,-33
558000,-904,672,16660,129,-311,-8
560000,-896,716,16636,128,-300,-48
562000,-940,744,16624,118,-272,-13
564000,-888,700,16676,148,-279,-54
566000,-880,724,16700,127,-293,-23
568000,-944,712,16704,130,-275,-13
570000,-884,704,16700,136,-293,-31
572004,-904,688,16636,127,-266,-31
574000,-940,692,16652,117,-288,-13
576000,-920,708,16612,133,-313,-37
578000,-956,652,16652,107,-266,-24
580000,-888,776,16816,87,-287,2
582000,-900,732,16604,103,-307,-11
584000,-864,732,16680,103,-264,-22
586000,-940,712,16636,111,-289,-10
588000,-892,680,16608,125,-280,-4
590004,-868,716,16656,105,-297,-17
592000,-984,692,16588,118,-317,-16
594000,-944,728,16708,112,-273,-18
596000,-936,736,16620,103,-277,-27
598000,-944,680,16712,118,-320,4
600000,-952,696,16616,134,-272,-28
602000,-928,652,16624,92,-264,-43
604000,-916,696,16648,116,-309,-43
606000,-892,632,16776,142,-304,-19
608000,-912,708,16652,111,-271,-21
610000,-900,640,16648,126,-308,-39
612000,-892,764,16656,98,-286,10
614000,-952,748,16684,116,-273,-11
616000,-920,740,16648,115,-260,-25
618000,-904,684,16656,141,-313,-11
620000,-932,720,16576,125,-254,-19
622000,-916,736,16660,117,-298,-19
624000,-896,728,16692,124,-320,-25
626004,-952,720,16684,107,-300,-40
628000,-900,712,16572,111,-303,7
630008,-920,712,16724,107,-302,-18
632000,-896,652,16696,109,-280,-17
634000,-952,732,16700,128,-307,-11
636000,-976,700,16692,111,-290,-27
638000,-888,688,16600,110,-275,-11
640000,-924,724,16740,121,-316,-13
642000,-852,720,16664,113,-289,-9
644000,-900,692,16624,135,-293,-48
646000,-872,744,16696,114,-299,-9
648000,-916,720,16636,139,-305,-27
650004,-852,660,16560,124,-317,-6
652000,-912,640,16720,86,-289,-36
654000,-896,664,16616,124,-291,-10
656000,-984,684,16672,111,-283,-13
658000,-880,700,16760,129,-274,-2
660000,-948,688,16668,115,-281,-33
662000,-880,692,16684,101,-295,14
664000,-952,736,16580,99,-272,10
666000,-896,712,16596,127,-323,-26
668000,-984,672,16516,133,-322,-3
670000,-952,736,16640,116,-264,-33
672000,-884,760,16692,80,-313,-28
674000,-960,620,16724,132,-292,-23
676000,-960,720,16708,95,-303,-25
678000,-964,724,16608,118,-297,-11
680000,-908,736,16604,125,-275,-38
682000,-884,692,16672,114,-283,-7
684000,-876,656,16676,131,-304,-15
686000,-876,700,16612,114,-311,-24
688000,-972,748,16616,102,-268,-6
690000,-940,756,16608,99,-278,29
692000,-968,692,16584,101,-264,-25
694000,-896,668,16636,119,-278,-25
696000,-916,608,16676,159,-293,-18
698000,-940,712,16624,126,-288,-8
700004,-944,700,16616,123,-303,-43
702000,-940,656,16576,90,-347,-23
704000,-896,688,16720,120,-305,-18
706000,-956,768,16644,115,-260,-10
708000,-888,692,16600,155,-265,-40
710000,-956,692,16692,102,-318,-12
712000,-896,684,16712,112,-286,-27
714000,-896,660,16608,104,-305,-42
716000,-896,700,16752,101,-274,-35
718004,-892,656,16660,118,-299,-11
720000,-960,724,16732,121,-328,-33
722000,-904,684,16660,141,-297,-2
724000,-896,736,16656,59,-297,-14
726000,-960,684,16580,122,-285,8
728000,-960,736,16580,91,-299,-65
730000,-932,624,16688,115,-292,-8
732000,-912,720,16736,148,-311,-39
734000,-948,652,16620,99,-320,-40
736000,-984,636,16644,153,-280,-16
738000,-932,688,16704,124,-249,-47
740000,-932,676,16700,120,-311,-12
742000,-916,676,16552,93,-281,-22
744000,-928,664,16656,114,-296,-16
746000,-980,716,16520,115,-330,-27
748000,-936,656,16688,125,-289,-11
750000,-904,748,16692,93,-297,-43
752000,-884,808,16648,115,-300,-32
754004,-864,704,16716,122,-273,-10
756000,-912,692,16668,123,-305,-16
758004,-920,700,16656,88,-314,-13
760000,-956,684,16712,129,-270,-40
762000,-924,684,16672,105,-275,-35
764000,-916,696,16628,98,-276,-5
766000,-900,672,16672,157,-294,-10
768000,-956,684,16664,86,-336,-2
770000,-896,672,16732,117,-298,-26
772000,-940,688,16732,121,-290,-34
774000,-972,704,16708,92,-296,20
776000,-908,728,16600,125,-281,-21
778000,-900,636,16648,122,-293,17
780000,-972,684,16640,136,-286,-33
782000,-908,676,16600,105,-316,-51
784000,-936,720,16668,121,-284,-37
786000,-924,684,16664,111,-280,-4
788000,-880,712,16684,106,-294,-27
790000,-884,728,16660,107,-298,-9
792000,-928,712,16808,118,-299,-11
794004,-904,716,16672,97,-296,-13
796000,-912,688,16744,122,-282,-48
798000,-936,736,16664,129,-317,-8
800000,-984,756,16796,150,-293,-38
802000,-940,668,16716,122,-296,-67
804000,-976,740,16716,116,-304,-22
806000,-880,716,16768,110,-302,-19
808000,-912,684,16736,99,-275,-3
810000,-904,692,16620,111,-268,-9
812000,-904,684,16692,127,-304,-25
814000,-936,676,16632,118,-293,-55
816000,-892,720,16644,114,-284,-34
818000,-948,668,16672,120,-293,-5
820000,-932,680,16616,151,-303,-53
822000,-960,708,16676,99,-318,-44
824000,-888,724,16780,128,-285,-16
826000,-916,744,16584,110,-310,-22
828004,-912,680,16564,90,-264,-8
830000,-924,652,16704,122,-284,-4
832000,-960,664,16664,102,-306,2
834000,-936,672,16560,134,-291,3
836000,-996,708,16672,84,-311,-8
838000,-980,728,16668,107,-308,-42
840000,-904,688,16616,80,-301,-18
842000,-876,696,16660,111,-288,-34
844000,-832,756,16632,121,-305,-13
846004,-956,672,16732,136,-273,-45
848000,-928,728,16672,123,-326,-26
850000,-884,688,16624,135,-285,-21
852000,-892,736,16704,124,-288,-34
854000,-936,724,16752,92,-302,-34
856000,-976,692,16616,98,-289,-34
858000,-908,676,16648,131,-273,6
860000,-868,692,16632,89,-310,-11
862000,-944,716,16700,103,-269,-26
864000,-948,724,16608,122,-285,-15
866000,-908,680,16664,134,-254,-25
868000,-936,748,16636,145,-307,-7
870000,-960,664,16728,127,-295,-6
872000,-908,708,16672,119,-276,-3
874000,-940,736,16632,135,-312,-26
876000,-904,772,16704,112,-283,-2
878000,-916,684,16612,115,-280,-10
880000,-904,680,16660,95,-266,-26
882000,-952,712,16660,116,-281,-34
884000,-888,720,16772,121,-340,13
886008,-852,740,16580,127,-269,2
888004,-884,688,16628,125,-258,-28
890000,-844,672,16660,117,-285,-28
892000,-968,768,16656,94,-275,1
894000,-900,664,16612,107,-278,-43
896000,-928,712,16596,123,-302,-18
898000,-912,728,16740,122,-272,-18
900000,-972,700,16604,126,-295,-41
902000,-904,704,16592,125,-302,-9
904000,-968,724,16740,91,-300,-19
906004,-924,704,16624,105,-303,-33
908000,-872,768,16676,101,-297,-11
910000,-952,700,16560,102,-276,-34
912000,-940,760,16588,131,-280,-14
914000,-956,716,16636,93,-276,11
916000,-932,728,16684,142,-290,-39
918000,-868,720,16616,110,-310,-16
920000,-896,676,16592,114,-277,-18
922004,-984,708,16660,136,-265,-40
924000,-916,720,16560,106,-303,-15
926000,-888,684,16608,136,-289,-24
928000,-888,704,16700,116,-319,-14
930000,-972,716,16628,118,-295,-8
932000,-960,688,16624,118,-284,-25
934000,-956,704,16600,102,-289,-37
936000,-888,700,16624,127,-288,-2
938000,-920,696,16640,106,-302,-34
940000,-924,656,16664,69,-290,21
942000,-928,680,16664,87,-276,-1
944000,-872,696,16640,165,-313,0
946004,-944,740,16720,124,-250,-72
948000,-892,648,16760,92,-307,-18
950000,-888,700,16620,116,-300,-27
952000,-900,608,16528,107,-272,-25
954004,-932,688,16644,109,-305,22
956000,-916,736,16684,123,-311,-24
958000,-840,648,16660,110,-273,-37
960000,-940,716,16696,104,-309,-25
962000,-908,700,16652,147,-274,-19
964000,-920,692,16692,127,-263,-24
966000,-956,684,16624,115,-300,-39
968000,-948,700,16696,116,-284,-47
970000,-940,752,16680,99,-269,-19
972000,-940,676,16692,85,-284,-9
974000,-864,700,16692,134,-290,-6
976004,-936,684,16656,96,-245,-11
978000,-868,664,16620,97,-319,-18
980000,-1020,728,16652,96,-304,-14
982000,-964,676,16652,134,-285,-30
984000,-908,640,16684,85,-290,9
986000,-888,684,16752,144,-307,-53
988000,-884,684,16748,100,-306,-43
990000,-940,764,16744,122,-275,-22
992000,-976,676,16672,148,-296,-50
994000,-916,728,16712,129,-291,-42
996000,-908,728,16584,123,-282,-46
998000,-888,756,16628,79,-307,-33
1000000,-952,720,16616,137,-258,-13
1002000,-840,716,16660,153,-308,-13
1004000,-880,676,16708,97,-322,13
1006000,-1004,704,16608,119,-291,-29
1008000,-948,616,16656,103,-319,-31
1010000,-892,684,16636,112,-277,-50
1012000,-920,720,16576,148,-276,22
1014008,-916,716,16768,114,-323,17
1016004,-936,704,16616,89,-289,-23
1018000,-940,736,16680,103,-276,-22
1020000,-856,672,16668,144,-294,-35
1022000,-960,632,16728,107,-293,-24
1024000,-964,664,16644,102,-311,-21
1026000,-972,716,16620,119,-294,-44
1028000,-912,652,16656,106,-307,-23
1030000,-900,672,16692,122,-276,1
1032000,-920,612,16660,138,-290,-3
1034004,-856,660,16688,111,-298,3
1036000,-896,720,16564,149,-285,-32
1038000,-888,668,16748,106,-303,-43
1040000,-912,684,16648,107,-281,-48
1042000,-928,760,16716,119,-304,-22
1044000,-928,700,16644,98,-330,-19
1046000,-956,776,16600,91,-294,8
1048000,-896,708,16568,131,-310,-29
1050004,-924,724,16668,84,-303,3
1052000,-924,732,16700,101,-297,-27
1054000,-868,676,16612,137,-275,-19
1056000,-880,740,16644,149,-277,-22
1058004,-932,744,16672,108,-286,-24
1060000,-852,680,16744,111,-276,-21
1062000,-896,724,16644,120,-288,-65
1064000,-900,748,16572,100,-277,-26
1066000,-868,780,16532,117,-281,-4
1068000,-892,712,16604,111,-269,-24
1070000,-996,720,16628,117,-320,-15
1072000,-924,676,16512,121,-294,-41
1074000,-860,736,16624,92,-292,-9
1076000,-976,704,16708,109,-288,-29
1078000,-848,744,16700,136,-311,1
1080004,-904,672,16616,105,-307,-24
1082004,-904,692,16608,120,-286,-38
1084004,-932,692,16696,99,-290,-39
1086000,-900,748,16624,112,-309,0
1088000,-920,676,16664,142,-278,-46
1090004,-900,708,16532,91,-271,-9
1092000,-924,776,16684,115,-286,-7
1094000,-928,680,16676,105,-288,-34
1096000,-964,676,16656,115,-267,13
1098004,-848,776,16564,117,-297,-27
1100000,-888,816,16600,143,-283,-67
1102000,-932,688,16768,102,-273,-25
1104004,-936,672,16700,90,-301,-33
1106000,-928,684,16668,129,-300,-29
1108000,-908,716,16648,133,-307,-26
1110000,-960,736,16684,105,-283,-19
1112000,-944,716,16732,112,-300,1
1114000,-932,660,16728,126,-253,-13
1116000,-948,676,16692,106,-293,-33
1118000,-872,700,16592,134,-315,-19
1120000,-932,704,16752,88,-304,-4
1122000,-932,700,16676,127,-296,-8
1124000,-908,680,16576,138,-284,3
1126000,-924,704,16672,116,-316,-34
1128000,-904,700,16700,157,-262,-36
1130000,-928,668,16600,134,-273,-43
1132000,-904,648,16612,125,-294,-38
1134000,-908,644,16736,115,-307,-11
1136000,-1000,692,16524,101,-298,-12
1138000,-820,716,16620,114,-289,13
1140000,-896,704,16584,142,-291,-17
1142008,-852,744,16500,108,-270,-1
1144004,-956,724,16588,81,-299,-7
1146000,-956,720,16732,144,-277,-39
1148000,-856,692,16696,120,-287,-21
1150000,-928,680,16640,139,-289,-21
1152000,-876,688,16684,96,-315,-30
1154000,-904,740,16648,106,-317,-26
1156000,-980,656,16696,100,-323,2
1158000,-904,680,16696,109,-302,-24
1160000,-888,636,16704,138,-271,-13
1162004,-988,700,16648,101,-271,-13
1164000,-968,704,16788,124,-282,-41
1166000,-916,696,16640,117,-320,-21
1168000,-952,716,16576,140,-308,-18
1170000,-944,756,16676,122,-296,4
1172000,-892,712,16604,83,-311,3
1174000,-936,676,16584,84,-292,2
1176000,-916,680,16684,118,-271,-23
1178000,-936,676,16604,115,-335,-16
1180000,-912,712,16672,112,-258,11
1182000,-920,692,16672,117,-266,1
1184000,-980,688,16624,108,-276,-30
1186000,-868,684,16528,118,-309,-35
1188000,-932,712,16664,117,-302,0
1190000,-912,704,16708,110,-295,-8
1192000,-944,664,16696,97,-284,-49
1194000,-996,740,16600,119,-294,-38
1196000,-948,712,16620,115,-276,-25
1198000,-848,748,16692,112,-295,3
1200000,-856,716,16616,84,-290,-12
1202000,-960,696,16640,137,-263,-32
1204000,-936,716,16680,127,-280,37
1206000,-884,688,16720,113,-256,-7
1208000,-1000,712,16620,104,-277,-18
1210000,-936,740,16652,119,-280,-37
1212004,-860,708,16672,94,-280,-10
1214000,-936,700,16672,127,-282,-6
1216000,-884,708,16612,82,-296,-31
1218000,-912,688,16612,96,-306,-36
1220000,-888,616,16656,125,-297,0
1222000,-924,672,16584,88,-289,-27
1224000,-904,652,16648,110,-303,-29
1226000,-868,704,16592,147,-284,-26
1228000,-912,680,16564,96,-263,13
1230004,-920,784,16600,81,-295,-11
1232000,-908,784,16632,148,-277,-4
1234000,-904,728,16672,110,-291,-60
1236000,-940,780,16564,117,-279,-24
1238000,-968,712,16600,115,-312,-7
1240000,-900,704,16624,111,-313,-35
1242000,-944,732,16652,114,-287,-10
1244000,-908,676,16608,131,-292,-35
1246000,-936,688,16616,124,-292,18
1248000,-948,792,16600,102,-290,-19
1250000,-948,704,16612,139,-272,-59
1252000,-908,720,16596,116,-288,-5
1254000,-936,724,16652,129,-278,13
1256000,-972,756,16688,130,-308,-26
1258000,-964,736,16576,119,-290,-6
1260000,-952,704,16580,103,-277,-10
1262000,-940,740,16620,122,-287,3
1264000,-904,628,16612,112,-291,-23
1266004,-972,720,16628,117,-313,-44
1268000,-904,700,16732,101,-267,-13
1270004,-852,704,16672,119,-285,-6
1272000,-952,728,16628,98,-308,-50
1274000,-944,764,16608,90,-309,-36
1276000,-884,712,16660,106,-293,-21
1278000,-920,720,16748,128,-275,-3
1280000,-972,736,16640,75,-310,8
