micros,ax,ay,az,gx,gy,gz
0,-704,616,16840,96,-325,-8
2000,-648,600,16728,124,-312,33
4000,-664,660,16512,119,-294,-27
6000,-692,648,16460,116,-335,11
8000,-592,772,16548,142,-310,-26
10000,-696,832,16676,109,-274,-19
12000,-668,844,16676,128,-265,-55
14000,-708,796,16796,116,-250,-9
16000,-792,788,16996,66,-284,-32
18000,-836,784,17032,120,-291,-31
20004,-840,824,16712,125,-297,0
22000,-848,888,16704,88,-309,-19
24000,-844,864,16824,96,-300,-50
26000,-836,840,16592,106,-294,-32
28004,-804,896,16492,132,-320,-22
30000,-720,852,16416,120,-307,-22
32000,-736,828,16384,86,-315,-8
34000,-600,724,16412,81,-320,-2
36000,-620,640,16480,117,-306,-31
38004,-608,604,16576,109,-320,-1
40000,-668,588,16628,114,-280,-21
42000,-768,640,16600,103,-298,8
44000,-752,580,16692,107,-277,-49
46000,-796,796,16792,119,-295,-43
48000,-892,772,16872,91,-243,-6
50000,-972,792,16928,102,-219,9
52000,-944,800,16820,116,-275,9
54000,-932,868,16820,94,-263,-29
56000,-868,800,16976,96,-311,-19
58000,-848,692,16600,93,-289,-31
60000,-748,744,16532,101,-298,-46
62000,-756,800,16572,98,-340,-27
64000,-764,676,16540,144,-315,12
66000,-692,712,16516,105,-313,-33
68000,-640,692,16628,104,-301,-16
70000,-636,680,16464,115,-302,-3
72000,-604,716,16532,108,-312,-17
74000,-620,656,16540,98,-253,-29
76004,-648,668,16740,124,-265,7
78000,-788,724,16584,80,-283,-9
80000,-776,768,16624,139,-260,-26
82000,-816,796,16636,96,-264,-15
84004,-824,820,16592,83,-284,5
86000,-836,772,16580,89,-288,-22
88000,-860,812,16568,158,-279,-33
90000,-912,740,16764,110,-317,17
92000,-844,764,16916,131,-310,-17
94000,-876,792,16708,127,-314,-21
96000,-860,652,16764,106,-290,13
98000,-832,676,16728,122,-338,0
100000,-816,676,16720,115,-335,10
102000,-804,740,16624,104,-314,-52
104004,-748,708,16488,129,-327,-31
106000,-680,792,16516,122,-279,4
108000,-752,824,16572,85,-291,-9
110000,-780,688,16644,110,-317,-35
112000,-700,744,16648,107,-297,-1
114000,-776,768,16748,116,-280,-19
116000,-844,744,16796,122,-255,0
118004,-772,724,16960,97,-308,-8
120000,-720,752,16884,115,-300,-28
122000,-844,880,16788,118,-282,-20
124000,-768,832,16620,100,-297,-27
126000,-800,848,16604,110,-304,26
128000,-744,780,16544,112,-304,-16
130000,-716,752,16424,106,-308,-13
132000,-760,684,16456,122,-289,-19
134000,-668,704,16492,94,-305,-7
136000,-704,652,16568,116,-305,-36
138000,-704,676,16480,116,-284,-17
140000,-688,688,16464,108,-277,-26
142000,-684,716,16536,133,-261,-5
