micros,ax,ay,az,gx,gy,gz
0,-852,608,16680,144,-286,-22
2000,-928,684,16664,100,-271,-2
4000,-864,672,16580,107,-314,13
6000,-908,640,16732,102,-293,-16
8000,-860,676,16584,95,-280,-20
10000,-868,632,16684,130,-293,-35
12000,-884,660,16660,119,-266,-12
14000,-892,696,16632,131,-304,-55
16000,-916,704,16628,101,-283,-25
18000,-884,700,16508,90,-306,-25
20000,-848,660,16616,106,-272,-5
22000,-900,704,16580,129,-266,32
24000,-876,704,16664,106,-293,-18
26000,-952,656,16660,99,-309,-6
28000,-904,684,16644,101,-290,-21
30000,-928,684,16692,122,-263,-8
32000,-900,720,16616,126,-281,-21
34000,-844,680,16620,106,-312,5
36000,-864,744,16648,103,-294,-20
38000,-896,720,16612,110,-308,17
40000,-880,696,16640,119,-280,-43
42000,-824,656,16684,100,-307,-6
44000,-920,640,16656,119,-306,-21
46000,-892,724,16680,98,-298,-9
48000,-888,648,16728,125,-311,-29
50000,-852,732,16568,96,-324,-41
52000,-860,684,16568,108,-296,-16
54000,-844,704,16548,110,-293,-26
56000,-824,640,16720,156,-297,-25
58000,-820,648,16728,124,-293,-19
60004,-800,636,16584,74,-307,3
62000,-840,576,16636,125,-302,-13
64000,-824,736,16632,106,-306,-5
66000,-852,632,16712,122,-309,10
68000,-792,640,16724,133,-259,0
70000,-836,708,16656,118,-295,29
72000,-904,684,16648,56,-314,-15
74004,-916,576,16676,82,-288,1
76000,-872,680,16644,86,-304,-23
78000,-872,724,16664,101,-289,-13
80000,-844,652,16648,105,-284,-6
82000,-880,636,16644,118,-302,-4
84000,-832,664,16596,129,-298,4
86004,-852,692,16536,80,-325,-27
88000,-860,616,16720,119,-320,-20
90000,-872,688,16692,87,-261,-4
92004,-872,632,16612,132,-304,-13
94000,-924,696,16648,103,-299,-24
96000,-872,684,16560,118,-296,-20
98000,-868,708,16560,105,-291,-36
100000,-828,664,16696,115,-296,0
102000,-812,744,16680,117,-265,-2
104000,-876,720,16592,134,-280,-36
106000,-848,672,16628,78,-302,24
108000,-856,688,16556,92,-269,-11
110000,-888,616,16600,110,-296,-15
112004,-888,652,16564,94,-300,-12
114000,-904,652,16748,117,-292,-20
116000,-924,720,16668,76,-328,14
118000,-976,736,16676,96,-284,-35
120000,-852,660,16612,94,-310,3
122000,-836,648,16648,127,-305,-5
124000,-840,672,16592,133,-301,-12
126000,-892,704,16712,90,-306,-15
128004,-868,676,16640,73,-309,-24
130000,-876,700,16772,84,-289,-18
132000,-832,640,16676,119,-263,7
134000,-868,668,16628,129,-265,-8
136000,-860,660,16572,116,-267,-19
138000,-908,612,16608,109,-319,-55
140000,-820,588,16600,119,-310,0
142000,-848,684,16628,144,-283,-43
144000,-776,672,16668,134,-269,-52
146000,-880,684,16556,117,-272,-19
148000,-896,676,16640,109,-312,-13
150000,-788,624,16536,151,-299,-31
152000,-856,680,16512,104,-301,-50
154000,-808,760,16680,139,-289,-10
156000,-824,652,16720,89,-260,10
158000,-868,660,16640,92,-278,-21
160000,-876,616,16648,105,-330,-9
162000,-916,704,16600,120,-318,-53
164000,-884,724,16604,91,-291,5
166000,-792,632,16740,132,-293,-31
168000,-844,640,16656,143,-309,-15
170000,-908,736,16640,84,-304,-19
172000,-936,744,16612,142,-322,-6
174000,-892,628,16560,127,-307,9
176000,-856,612,16660,82,-274,-21
178000,-844,724,16576,104,-267,8
180000,-828,684,16664,129,-292,-8
182000,-892,772,16664,110,-318,-39
184000,-940,728,16596,113,-326,4
186004,-892,660,16536,127,-277,-21
188004,-956,680,16612,106,-301,-3
190000,-804,672,16728,128,-280,-51
192000,-908,696,16640,93,-314,1
194000,-912,652,16600,117,-316,-29
196000,-932,672,16672,95,-279,3
198000,-784,668,16580,107,-292,-12
200000,-900,736,16696,119,-319,3
202000,-892,764,16680,106,-280,3
204000,-876,696,16608,88,-280,1
206000,-900,588,16648,98,-325,-27
208000,-872,684,16612,102,-337,-12
210000,-844,640,16612,125,-262,-10
212000,-884,616,16736,139,-296,-22
214004,-900,644,16680,131,-306,-17
216000,-868,632,16604,116,-310,10
218000,-852,632,16632,79,-304,-19
220000,-848,644,16568,97,-290,-32
222000,-772,700,16684,132,-264,-14
224000,-856,692,16664,120,-303,6
226000,-868,716,16604,90,-319,-58
228000,-892,652,16724,108,-267,-18
230000,-928,704,16660,100,-304,-2
232000,-872,664,16588,107,-276,-22
234000,-828,712,16632,107,-324,15
236004,-864,696,16656,110,-312,-64
238000,-872,708,16716,94,-288,-29
240000,-848,668,16652,99,-289,-5
242004,-848,648,16604,99,-305,-31
244000,-812,676,16712,94,-286,-21
246000,-908,628,16624,123,-267,-35
248000,-892,672,16612,109,-304,8
250000,-880,672,16628,71,-272,-9
252000,-896,632,16572,119,-308,-4
254000,-836,664,16676,127,-292,5
256000,-876,704,16652,80,-279,20
258000,-936,700,16588,94,-301,-16
260000,-864,664,16620,94,-280,-41
262000,-836,684,16652,87,-277,8
264000,-880,676,16744,93,-279,-20
266000,-880,680,16636,116,-323,-3
268000,-848,652,16656,118,-317,-17
270000,-844,668,16732,120,-288,15
272000,-824,724,16628,72,-313,-18
274000,-840,644,16664,90,-268,-1
276000,-876,656,16692,137,-289,-9
278000,-856,672,16596,108,-270,-25
280000,-816,764,16648,133,-316,25
282000,-860,688,16544,91,-297,-21
284000,-876,648,16556,125,-296,-17
286000,-888,644,16572,64,-323,-15
288000,-892,644,16772,126,-251,-3
290000,-860,744,16624,110,-258,-42
292000,-988,704,16708,73,-305,-44
294000,-828,672,16724,120,-319,-36
296000,-860,692,16616,97,-300,-11
298000,-888,652,16516,103,-267,-34
300000,-912,636,16696,110,-317,7
302000,-856,684,16636,86,-276,-34
304000,-816,640,16616,115,-274,-32
306000,-856,648,16556,128,-299,-23
308000,-892,628,16592,120,-293,-26
310000,-896,656,16648,133,-261,-4
312000,-880,644,16620,89,-304,-24
314000,-888,628,16652,124,-294,-21
316004,-872,660,16512,103,-318,-20
318000,-856,688,16592,93,-316,-13
320000,-880,668,16712,84,-294,15
322000,-832,688,16552,86,-255,12
324000,-912,712,16620,112,-322,-34
326000,-832,624,16520,102,-321,-30
328000,-860,652,16568,107,-300,-17
330000,-936,736,16528,106,-308,-16
332000,-836,592,16616,104,-301,-7
334000,-840,660,16664,102,-257,8
336000,-932,596,16688,71,-279,-36
338000,-868,708,16664,66,-327,-31
340000,-876,668,16564,110,-261,-20
342004,-820,664,16608,126,-290,0
344000,-944,636,16620,108,-293,-25
346000,-852,704,16656,135,-294,-11
348000,-936,676,16704,127,-286,-19
350000,-932,748,16568,104,-299,-22
352000,-944,668,16608,115,-284,-5
354000,-904,636,16588,106,-285,-22
356000,-880,672,16620,125,-289,-14
358000,-860,692,16660,76,-307,-3
360000,-868,684,16576,99,-324,-10
362000,-852,664,16668,96,-315,-10
364004,-880,632,16648,96,-300,-44
366000,-812,672,16644,119,-253,-35
368000,-884,736,16648,116,-279,-43
370004,-940,712,16632,51,-292,0
372000,-900,732,16584,105,-295,9
374000,-820,664,16540,109,-313,-21
376000,-848,668,16552,107,-278,18
378000,-852,792,16672,100,-298,4
380000,-812,636,16680,97,-301,-3
382000,-860,680,16584,89,-320,-14
384000,-864,716,16580,92,-291,-12
386000,-804,588,16628,122,-284,-15
388000,-836,652,16700,82,-313,-10
390000,-888,696,16684,101,-285,-22
392000,-836,700,16696,115,-309,-2
394000,-844,704,16484,93,-334,-3
396000,-908,652,16676,106,-325,-24
398000,-792,720,16508,104,-280,-47
400004,-840,656,16596,127,-288,3
402000,-872,676,16724,134,-312,-31
404000,-900,676,16592,108,-290,-24
406000,-860,692,16724,110,-312,-28
408000,-880,628,16520,78,-280,-40
410000,-888,652,16672,73,-286,-25
412000,-880,640,16592,126,-286,-14
414000,-888,704,16604,97,-262,-4
416000,-832,688,16660,119,-313,-28
418000,-884,704,16624,92,-250,-27
420000,-872,608,16508,101,-263,-27
422000,-844,636,16696,134,-298,-12
424000,-896,728,16656,141,-282,5
426000,-868,668,16676,95,-283,23
428000,-836,720,16656,120,-328,-14
430000,-828,692,16568,104,-291,-8
432000,-856,676,16644,120,-283,42
434000,-816,580,16588,139,-288,-25
436004,-928,640,16644,100,-285,-2
438000,-848,644,16572,98,-278,0
440000,-932,660,16540,90,-321,-12
442000,-900,724,16616,129,-296,18
444004,-880,724,16620,100,-303,7
446000,-896,704,16680,124,-292,-10
448000,-920,652,16564,90,-299,-30
450000,-852,660,16500,91,-302,-13
452000,-852,632,16596,104,-265,-9
454000,-832,720,16676,120,-290,27
456000,-824,700,16604,111,-283,-23
458000,-824,632,16692,118,-313,-39
460000,-904,704,16752,95,-288,-5
462000,-864,708,16556,97,-279,-8
464000,-860,616,16556,89,-318,14
466000,-872,664,16696,139,-284,-35
468000,-884,708,16644,139,-308,11
470004,-916,672,16612,126,-271,-27
472000,-896,688,16580,124,-307,-21
474000,-816,632,16544,95,-333,-21
476000,-816,672,16580,134,-279,-30
478000,-812,588,16716,120,-316,-34
480000,-864,704,16668,127,-312,-2
482000,-876,724,16680,72,-322,-34
484000,-852,716,16628,80,-302,-31
486000,-860,688,16604,114,-305,-9
488000,-880,612,16704,142,-298,-3
490000,-884,700,16676,107,-288,21
492000,-872,696,16652,100,-303,-13
494000,-904,712,16592,114,-298,6
496000,-840,704,16584,102,-307,-24
498000,-896,708,16544,117,-272,-10
500000,-896,740,16532,132,-261,-3
502000,-812,708,16668,117,-308,-21
504000,-896,732,16632,87,-309,-18
506000,-868,724,16624,96,-306,14
508000,-828,676,16524,109,-305,-11
510000,-904,672,16620,111,-324,-13
512000,-892,716,16636,113,-269,-5
514000,-916,684,16628,137,-253,-35
516000,-876,720,16656,86,-279,-42
518000,-804,744,16640,90,-296,-25
520000,-928,696,16580,111,-306,-31
522000,-880,680,16548,114,-286,-21
524000,-880,716,16520,102,-307,-63
526000,-884,700,16716,137,-316,-1
528000,-888,716,16616,101,-310,-11
530000,-852,684,16616,108,-305,-14
532000,-912,620,16632,117,-296,-6
534000,-788,716,16636,84,-300,-28
536000,-900,628,16732,100,-320,3
538000,-888,740,16684,131,-283,-27
540000,-884,676,16568,105,-314,-2
542000,-900,624,16696,106,-283,-33
544000,-864,632,16608,97,-289,-20
546000,-936,632,16584,153,-329,-15
548000,-844,756,16628,86,-283,16
550000,-844,720,16660,124,-310,-26
552000,-888,612,16560,97,-311,-17
554000,-828,660,16624,98,-256,-39
556000,-868,700,16592,135,-312,-10
558000,-892,692,16596,109,-279,5
560000,-824,724,16648,110,-304,-15
562000,-896,668,16564,111,-329,3
564000,-884,680,16744,129,-285,-35
566000,-884,648,16640,90,-293,-24
568000,-816,684,16684,90,-300,10
570000,-916,704,16620,122,-273,11
572004,-884,672,16684,86,-285,10
574000,-880,640,16628,100,-326,6
576000,-852,648,16596,128,-307,5
578000,-864,740,16692,83,-273,14
580000,-900,692,16628,88,-277,-9
582000,-868,760,16528,100,-321,-16
584000,-824,692,16644,92,-338,2
586000,-872,680,16660,97,-307,-10
588000,-892,672,16576,130,-290,-17
590000,-888,792,16632,109,-255,-2
592000,-904,760,16576,92,-303,1
594000,-932,708,16696,64,-316,-28
596000,-848,712,16572,106,-299,-16
598000,-908,712,16600,107,-292,9
600000,-876,712,16764,123,-295,14
602000,-876,612,16608,108,-294,28
604000,-892,624,16620,108,-296,0
606000,-912,688,16604,119,-293,4
608000,-848,748,16564,86,-288,-31
610000,-896,724,16676,133,-296,-8
612000,-892,684,16584,89,-265,-27
614000,-868,672,16616,130,-292,-19
616000,-808,628,16632,114,-307,7
618000,-860,712,16644,132,-278,-46
620000,-780,628,16588,115,-315,-20
622000,-868,680,16584,109,-300,-56
624000,-868,716,16572,113,-292,-36
626000,-864,704,16680,105,-305,-7
628000,-836,684,16556,106,-314,-19
630000,-868,680,16636,100,-312,-5
632000,-864,656,16608,120,-290,-23
634000,-824,692,16588,125,-288,-18
636000,-912,600,16708,87,-294,25
638000,-836,680,16644,89,-295,0
640000,-860,728,16672,117,-307,-20
642000,-872,676,16624,147,-304,-28
644000,-884,680,16644,94,-289,-15
646000,-800,676,16644,119,-279,-26
648000,-852,676,16560,98,-286,-16
650000,-948,668,16512,98,-286,-10
652000,-828,672,16580,92,-336,15
654000,-836,624,16600,79,-286,-6
656004,-876,700,16716,112,-249,-18
658000,-856,688,16584,99,-261,-33
660000,-868,688,16676,86,-305,-19
662000,-860,632,16684,123,-312,-19
664000,-868,612,16608,94,-308,-12
666000,-820,672,16652,125,-261,-10
668000,-800,632,16732,84,-289,-34
670000,-888,720,16656,124,-314,-40
672000,-872,712,16668,152,-287,21
674000,-872,764,16632,105,-290,-24
676000,-932,700,16676,124,-296,4
678000,-788,632,16660,117,-299,-50
