micros,ax,ay,az,gx,gy,gz
0,-824,696,16664,97,-290,-35
2000,-848,752,16688,131,-314,-26
4000,-776,748,16620,117,-265,7
6000,-776,712,16596,126,-277,-26
8000,-804,720,16692,109,-270,-22
10000,-776,708,16648,104,-315,13
12000,-764,776,16696,117,-291,-25
14000,-784,732,16580,109,-268,-32
16000,-760,704,16616,109,-284,-27
18000,-740,728,16696,149,-304,-30
20000,-784,728,16712,116,-278,-31
22000,-816,724,16604,143,-282,1
24000,-836,720,16620,115,-249,-37
26000,-848,728,16568,99,-292,-19
28000,-800,720,16632,105,-288,-7
30000,-816,712,16604,80,-306,-22
32000,-772,720,16620,128,-306,7
34000,-728,660,16624,132,-282,-24
36000,-800,748,16640,122,-306,-19
38000,-812,688,16680,91,-309,-56
40000,-788,740,16636,95,-287,2
42000,-844,728,16620,102,-300,-23
44004,-756,696,16728,151,-316,-25
46000,-768,692,16584,81,-324,-9
48000,-788,728,16712,122,-283,-28
50000,-824,740,16628,129,-259,15
52000,-764,736,16664,133,-278,-23
54000,-796,724,16768,91,-295,-17
56000,-788,748,16660,115,-306,-36
58000,-824,764,16624,119,-284,-12
60000,-800,784,16688,141,-277,0
62000,-828,716,16744,116,-302,-17
64000,-816,692,16664,130,-285,-19
66000,-784,752,16704,112,-326,-3
68000,-788,732,16620,130,-284,-42
70000,-792,772,16708,114,-295,-22
72000,-804,684,16640,135,-275,-15
74000,-804,728,16708,136,-279,-15
76000,-812,752,16660,132,-293,-22
78000,-792,696,16616,119,-304,4
80004,-748,736,16584,109,-289,-43
82000,-768,688,16696,117,-315,-12
84000,-796,660,16608,127,-301,15
86000,-724,716,16712,85,-304,4
88000,-800,692,16632,92,-285,-31
90000,-820,720,16804,148,-278,-24
92000,-812,736,16640,92,-266,-26
94000,-796,724,16696,102,-294,-26
96000,-864,716,16696,134,-311,-12
98000,-800,736,16688,101,-297,8
100004,-820,744,16632,140,-277,-9
102000,-800,660,16668,136,-255,-32
104000,-836,756,16716,123,-283,-3
106004,-772,800,16688,110,-286,3
108000,-768,784,16640,125,-282,-29
110000,-780,712,16648,114,-275,-4
112000,-792,792,16680,104,-288,-12
114000,-788,692,16540,112,-283,-21
116000,-800,628,16672,121,-319,-19
118000,-792,676,16700,127,-278,-34
120000,-760,708,16708,100,-293,-28
122000,-852,756,16536,114,-295,-7
124000,-836,644,16624,133,-283,-5
126000,-836,676,16788,92,-313,-17
128000,-780,748,16644,110,-313,-17
130000,-788,720,16692,115,-290,2
132000,-716,720,16684,131,-279,-11
134000,-764,712,16592,108,-306,-15
136000,-732,748,16672,123,-292,-15
138000,-792,724,16640,131,-300,-17
140004,-760,712,16616,119,-299,-5
142000,-776,688,16740,135,-287,-24
144000,-728,712,16672,117,-286,-26
146000,-852,648,16576,108,-328,-45
148000,-776,692,16632,93,-290,5
150000,-840,720,16512,141,-283,-12
152000,-716,676,16616,108,-320,-15
154000,-744,716,16656,109,-220,-7
156000,-828,712,16668,133,-305,-10
158000,-776,708,16664,109,-275,-18
160000,-792,708,16704,84,-292,15
162000,-808,728,16668,109,-308,-38
164000,-812,792,16736,105,-271,-5
166000,-808,656,16616,137,-297,-11
168000,-796,708,16728,129,-282,-13
170000,-844,748,16696,145,-273,16
172000,-828,728,16556,141,-324,-9
174000,-768,720,16728,106,-291,-28
176000,-812,720,16756,127,-271,-43
178000,-792,680,16616,84,-340,-32
180000,-776,712,16724,113,-287,5
182000,-756,692,16664,118,-296,-14
184000,-776,720,16572,114,-327,-38
186000,-840,712,16644,103,-303,-14
188000,-728,676,16648,120,-279,-15
190000,-788,748,16640,104,-271,-22
192000,-756,724,16696,97,-297,-10
194000,-876,696,16688,116,-309,4
196000,-800,736,16624,92,-304,-21
198000,-792,756,16660,100,-287,-14
200000,-824,708,16612,91,-286,-27
202000,-720,684,16644,134,-284,-2
204000,-836,684,16660,126,-329,-16
206000,-808,676,16620,147,-288,-14
208004,-728,664,16748,105,-313,-7
210000,-760,700,16608,103,-301,-64
212000,-824,716,16688,117,-288,-19
214000,-756,740,16784,95,-277,-23
216000,-800,744,16596,125,-293,-25
218000,-804,768,16592,121,-278,-5
220000,-788,704,16588,131,-291,10
222000,-820,744,16720,133,-292,5
224000,-788,684,16548,124,-290,-2
226000,-844,700,16708,121,-266,-44
228004,-728,740,16604,104,-279,-26
230000,-724,696,16668,133,-311,7
232000,-764,740,16596,86,-278,-4
234004,-796,740,16660,96,-301,3
236000,-804,716,16688,99,-294,1
238000,-788,760,16580,145,-296,-8
240000,-748,724,16680,94,-332,-28
242000,-736,784,16640,139,-281,-38
244000,-804,736,16600,86,-317,-13
246000,-808,732,16620,102,-282,-35
248000,-768,776,16644,137,-285,-31
250000,-788,756,16588,122,-269,-26
252000,-796,708,16740,95,-312,6
254000,-756,728,16580,116,-281,7
256000,-784,760,16656,118,-264,-6
258000,-820,788,16728,109,-290,-13
260000,-840,688,16676,99,-276,1
262000,-736,632,16640,137,-277,-43
264000,-772,692,16664,138,-285,-25
266000,-768,716,16624,133,-259,-5
268000,-808,776,16688,123,-280,-30
270000,-760,692,16580,111,-297,-15
272000,-752,680,16704,126,-291,-25
274000,-756,732,16580,72,-280,-11
276000,-776,684,16672,129,-307,-28
278000,-768,708,16640,88,-318,-1
280000,-760,696,16680,124,-300,-13
282000,-788,656,16632,122,-258,-21
284000,-804,724,16748,123,-288,-18
286000,-776,700,16564,112,-268,-30
288000,-828,724,16644,102,-289,-15
290000,-864,716,16712,116,-269,-39
292000,-820,684,16668,117,-253,10
294000,-800,660,16596,134,-285,4
296000,-824,724,16580,117,-347,-19
298000,-800,632,16580,113,-257,-24
300004,-812,740,16588,121,-301,-18
302000,-700,768,16596,116,-266,10
304000,-812,712,16760,109,-314,13
306000,-724,696,16656,136,-259,-25
308000,-872,764,16632,107,-282,10
310000,-828,724,16600,121,-292,-36
312000,-768,668,16700,117,-279,-19
314000,-732,772,16544,111,-299,-25
316000,-748,716,16796,98,-284,-16
318000,-800,712,16576,127,-273,-35
320000,-812,740,16680,107,-291,0
322000,-796,700,16704,108,-284,-30
324000,-796,720,16644,129,-318,14
326000,-772,708,16676,112,-291,-10
328000,-764,716,16700,114,-305,-16
330000,-820,676,16612,141,-289,-50
332000,-776,684,16676,86,-291,1
334000,-768,668,16596,135,-293,-18
336000,-808,808,16596,112,-300,6
338000,-776,736,16672,77,-306,19
340000,-860,744,16656,133,-302,-26
342000,-796,668,16628,111,-295,15
344000,-792,672,16696,113,-324,-32
346000,-864,692,16572,109,-283,-19
348000,-740,708,16704,115,-293,-26
350004,-816,788,16548,117,-299,5
352000,-796,800,16536,98,-284,-6
354000,-792,716,16756,133,-292,-40
356000,-804,744,16564,121,-294,-2
358000,-728,692,16600,114,-279,-36
360000,-780,680,16804,94,-281,-17
362004,-756,692,16680,127,-311,-15
364000,-760,700,16648,107,-274,-10
366000,-792,728,16620,101,-291,-7
368000,-864,792,16632,85,-323,-11
370000,-752,664,16604,110,-274,-10
372000,-764,688,16640,140,-290,-44
374000,-784,712,16648,110,-293,-7
376000,-732,724,16720,110,-300,-23
378000,-768,720,16676,123,-244,-41
380000,-796,672,16716,125,-322,-36
382000,-772,700,16604,121,-288,-46
384000,-812,720,16664,143,-309,-30
386000,-732,728,16656,104,-319,2
388000,-780,716,16668,102,-270,-32
390000,-812,720,16664,111,-308,-15
392000,-748,712,16668,129,-285,-17
394000,-776,684,16584,125,-280,-30
396004,-740,696,16696,111,-275,8
398000,-724,692,16604,100,-310,-15
400000,-784,716,16656,126,-291,-32
402000,-764,724,16640,130,-285,-6
404000,-788,736,16624,88,-284,-6
406000,-780,764,16604,110,-313,-41
408000,-816,724,16588,125,-348,-5
410000,-764,728,16668,81,-284,-6
412000,-796,684,16572,120,-283,-5
414000,-800,708,16632,126,-235,-25
416000,-824,688,16608,116,-309,-13
418000,-804,700,16588,108,-272,-23
420000,-808,620,16644,112,-265,-38
422000,-756,716,16712,93,-277,-7
424000,-776,760,16736,125,-286,8
426000,-796,668,16748,132,-304,-5
428000,-844,748,16640,92,-299,-21
430000,-800,736,16584,104,-307,-5
432000,-732,708,16588,132,-250,-22
434000,-736,680,16740,110,-288,-34
436000,-776,704,16688,109,-280,-16
438000,-748,724,16716,125,-322,-30
440000,-836,696,16644,95,-283,-26
442000,-784,712,16684,128,-310,-30
444000,-852,728,16672,111,-332,-33
446000,-804,700,16604,129,-295,-16
448000,-780,744,16664,107,-276,-7
450000,-712,716,16568,126,-283,-12
452000,-788,688,16660,127,-309,-15
454000,-780,748,16624,106,-298,-14
456000,-736,716,16624,117,-335,-16
458000,-784,704,16692,124,-308,-8
460000,-824,684,16716,123,-284,-9
462000,-780,732,16692,88,-300,-2
464000,-756,768,16648,146,-275,-12
466000,-772,696,16632,139,-253,8
468000,-756,708,16632,123,-311,-14
470000,-708,708,16772,114,-336,8
472000,-860,720,16588,100,-313,-28
474000,-760,668,16640,136,-276,-18
476000,-792,736,16612,109,-295,-2
478004,-828,772,16656,113,-272,22
480000,-700,740,16728,135,-279,-17
482000,-764,760,16712,132,-292,-39
484000,-808,720,16672,134,-308,8
486000,-724,656,16656,131,-297,-24
488000,-800,688,16656,78,-310,-35
490004,-788,684,16648,98,-273,-38
492000,-832,672,16684,113,-305,-11
494000,-748,688,16636,113,-323,-2
496000,-732,744,16536,103,-272,-6
498000,-704,692,16588,119,-272,-31
500000,-764,680,16812,127,-239,-45
502004,-772,728,16684,128,-306,-20
504000,-840,704,16576,112,-332,14
506000,-848,688,16644,75,-282,-16
508000,-812,688,16628,124,-299,-18
510000,-776,736,16588,138,-310,-27
512000,-776,732,16612,123,-319,-4
514000,-748,708,16708,117,-288,-42
516004,-792,704,16568,112,-304,0
518004,-796,644,16648,72,-289,5
520000,-816,724,16640,149,-298,-12
522000,-800,712,16620,118,-304,-12
524000,-816,736,16624,124,-310,-4
526000,-768,696,16636,107,-306,-4
528000,-816,692,16548,100,-268,-37
530000,-736,656,16624,94,-307,-3
