micros,ax,ay,az,gx,gy,gz
0,-1444,2600,15756,-944,1889,-1597
2000,-1436,2660,15548,-1061,1982,-1656
4000,-1428,2580,15540,-1152,2061,-1718
6000,-1436,2508,15476,-1233,2055,-1771
8000,-1344,2360,15784,-1306,2098,-1824
10000,-1396,2348,15904,-1342,2092,-1893
12000,-1412,2328,16032,-1411,2066,-1974
14000,-1452,2240,15980,-1467,2056,-2006
16000,-1536,2192,16072,-1512,1994,-2044
18000,-1604,2188,16040,-1571,1997,-2110
20000,-1644,2164,16016,-1602,1928,-2144
22000,-1636,2144,16072,-1672,1917,-2181
24000,-1692,2152,16064,-1688,1905,-2233
26000,-1672,2032,16088,-1755,1821,-2261
28000,-1692,1960,16276,-1741,1761,-2285
30004,-1840,1992,16248,-1821,1688,-2307
32000,-1960,1956,16372,-1767,1643,-2280
34000,-1976,1836,16392,-1793,1556,-2295
36000,-2132,1924,16408,-1781,1442,-2292
38004,-2252,1912,16584,-1817,1332,-2272
40000,-2352,1892,16468,-1825,1201,-2239
42004,-2368,1964,16616,-1787,1037,-2196
44000,-2352,2036,16600,-1775,926,-2172
46004,-2488,2040,16592,-1792,816,-2129
48000,-2468,1984,16708,-1825,718,-2104
50000,-2544,2076,16812,-1769,595,-2046
52000,-2612,2144,16800,-1772,390,-1978
54000,-2492,2012,16740,-1767,349,-1934
56004,-2512,1852,16704,-1757,335,-1829
58000,-2596,1800,16860,-1727,245,-1773
60000,-2604,1732,16748,-1713,151,-1690
62000,-2492,1648,16640,-1695,166,-1593
64000,-2552,1596,16664,-1691,150,-1506
66000,-2676,1532,16672,-1624,106,-1387
68000,-2580,1524,16812,-1550,-10,-1307
70000,-2560,1528,16728,-1504,-61,-1202
72000,-2392,1560,16616,-1467,-80,-1087
74000,-2348,1560,16708,-1371,-172,-1017
76000,-2388,1520,16860,-1335,-265,-918
78000,-2264,1604,16788,-1301,-303,-815
80000,-2156,1492,16808,-1214,-367,-794
82000,-2140,1616,16744,-1180,-495,-738
84000,-1996,1516,16732,-1101,-580,-647
86000,-1928,1484,16776,-1029,-716,-590
88000,-1844,1488,16600,-938,-800,-532
90000,-1748,1384,16660,-901,-844,-451
92000,-1644,1356,16560,-796,-942,-443
94004,-1616,1408,16564,-715,-1043,-406
96000,-1556,1264,16636,-696,-1143,-385
98000,-1504,1340,16536,-627,-1253,-381
100000,-1444,1308,16480,-552,-1322,-360
102004,-1384,1380,16476,-516,-1387,-335
104000,-1300,1372,16460,-455,-1464,-359
106000,-1208,1360,16472,-433,-1528,-359
108000,-1168,1332,16380,-406,-1595,-421
110000,-1144,1336,16340,-382,-1616,-450
112000,-1072,1288,16368,-351,-1642,-438
114000,-1152,1320,16400,-325,-1690,-516
116000,-1128,1308,16336,-331,-1734,-556
118000,-1168,1304,16452,-364,-1740,-573
120000,-1160,1308,16420,-357,-1751,-623
122000,-1124,1300,16408,-347,-1708,-674
124000,-1144,1268,16408,-386,-1748,-718
126000,-1176,1268,16360,-338,-1719,-772
128000,-1176,1288,16348,-352,-1736,-819
130000,-1220,1276,16372,-383,-1699,-888
132000,-1284,1252,16308,-357,-1653,-949
134000,-1280,1244,16420,-397,-1597,-1002
136000,-1376,1284,16452,-388,-1548,-1024
138000,-1388,1276,16328,-411,-1523,-1082
140000,-1400,1276,16572,-436,-1416,-1134
142000,-1448,1252,16584,-414,-1374,-1170
144000,-1444,1272,16516,-423,-1273,-1247
146000,-1508,1336,16460,-408,-1144,-1294
148000,-1680,1332,16456,-407,-1066,-1337
150000,-1664,1384,16560,-368,-955,-1377
152000,-1704,1416,16576,-337,-825,-1413
154000,-1768,1404,16556,-312,-740,-1398
156004,-1744,1404,16508,-325,-615,-1449
158000,-1772,1432,16652,-229,-487,-1451
160000,-1788,1388,16540,-188,-357,-1460
162000,-1752,1376,16672,-160,-222,-1503
164000,-1792,1344,16720,-62,-139,-1507
166000,-1800,1336,16576,-20,-25,-1507
168000,-1828,1316,16548,76,100,-1515
170004,-1828,1188,16480,149,202,-1532
172000,-1796,1228,16528,211,293,-1567
174000,-1764,1200,16668,299,362,-1589
176000,-1732,1072,16516,389,423,-1571
178000,-1812,1052,16652,464,494,-1544
180000,-1772,988,16488,538,507,-1585
182000,-1740,920,16484,613,565,-1619
184000,-1564,912,16464,701,504,-1600
186000,-1724,756,16308,787,543,-1604
188000,-1792,808,16636,839,581,-1590
190000,-1712,816,16508,912,561,-1608
192000,-1696,784,16384,926,472,-1620
194000,-1656,776,16488,966,472,-1629
196000,-1612,816,16476,1017,454,-1641
198000,-1616,864,16464,1000,389,-1666
200000,-1508,848,16372,982,281,-1687
202000,-1508,840,16428,1014,242,-1715
204000,-1524,924,16344,1001,201,-1716
206000,-1480,852,16400,978,133,-1736
208000,-1504,976,16420,939,76,-1777
210000,-1500,908,16360,856,-12,-1782
212000,-1508,884,16308,834,-36,-1839
214000,-1536,912,16316,786,-75,-1833
216000,-1568,840,16280,685,-66,-1855
218004,-1592,892,16168,639,-152,-1892
220000,-1548,896,16300,524,-178,-1896
222004,-1600,824,16300,491,-130,-1896
224000,-1652,780,16284,436,-163,-1925
226000,-1732,700,16292,337,-173,-1941
228000,-1884,816,16272,403,-140,-1949
230000,-1936,1096,20144,688,-210,-1922
232004,-1940,628,15296,372,-461,-1915
234000,-2316,760,15664,203,-396,-1818
236000,-2080,388,16244,215,-312,-1806
238000,-2008,280,15996,156,-344,-1817
240000,-2072,248,16992,117,-379,-1841
242000,-1864,180,16624,117,-454,-1875
244000,-1700,88,16832,136,-479,-1905
246000,-1784,256,16852,104,-518,-1901
248000,-1864,456,16780,143,-543,-1881
250004,-2004,648,16808,100,-619,-1852
252000,-1888,608,16508,104,-613,-1795
254000,-1984,536,16568,141,-559,-1788
256000,-2044,452,16480,78,-514,-1770
258000,-1996,416,16404,60,-508,-1779
260000,-1888,344,16380,52,-475,-1742
262000,-1788,116,16216,26,-410,-1751
264000,-1792,48,16464,52,-310,-1772
266000,-1784,92,16548,61,-296,-1787
268000,-1756,148,16488,67,-271,-1815
270000,-1736,180,16228,105,-206,-1810
272000,-1668,180,16256,150,-92,-1826
274000,-1736,208,16288,149,-27,-1813
276000,-1728,144,16300,150,68,-1807
278000,-1716,144,16192,225,140,-1821
280000,-1632,132,16136,240,217,-1791
282000,-1740,72,16112,300,319,-1778
284004,-1748,32,16100,322,499,-1790
286000,-1692,-52,16060,331,508,-1767
288000,-1640,-44,16020,414,628,-1747
290000,-1656,-60,15940,437,799,-1770
292000,-1620,-40,15928,465,861,-1734
294000,-1580,-52,15932,474,1018,-1744
296000,-1628,-68,15856,528,1117,-1722
298004,-1604,32,15816,573,1214,-1693
300000,-1640,28,15984,621,1251,-1696
302000,-1580,-28,15824,626,1309,-1677
304000,-1604,-24,15908,652,1398,-1648
306000,-1664,48,15948,727,1487,-1611
308000,-1664,88,15844,732,1523,-1559
310000,-1652,84,15772,773,1553,-1525
312000,-1764,136,15804,796,1614,-1471
314000,-1736,72,15792,819,1646,-1470
316000,-1736,120,15812,845,1591,-1397
318000,-1792,128,15836,858,1575,-1354
320004,-1688,148,15888,860,1552,-1264
322000,-1764,336,15920,851,1501,-1243
324000,-1708,344,15900,924,1452,-1150
326000,-1696,240,15912,982,1389,-1078
328004,-1700,416,15904,1013,1296,-991
330000,-1744,300,15880,1059,1188,-932
332000,-1712,300,15728,1082,1092,-830
334000,-1676,320,15912,1130,966,-782
336000,-1616,288,15876,1113,859,-723
338000,-1532,236,15924,1158,732,-651
340000,-1544,244,15672,1180,634,-603
342000,-1512,248,15752,1201,479,-553
344000,-1436,196,15788,1195,366,-482
346000,-1424,240,15760,1279,234,-431
348000,-1436,236,15840,1255,150,-356
350004,-1360,184,15760,1268,-5,-313
352000,-1260,236,15764,1306,-146,-293
354000,-1168,236,15700,1336,-217,-237
356000,-1212,268,15732,1303,-344,-207
358000,-1048,188,15760,1303,-432,-181
360004,-1040,180,15588,1363,-545,-105
362000,-980,196,15636,1302,-599,-88
364000,-980,144,15616,1301,-665,-131
366000,-948,148,15584,1288,-728,-122
368000,-932,96,15616,1246,-752,-136
370000,-824,120,15472,1203,-761,-144
372000,-860,88,15540,1185,-738,-129
374000,-796,132,15564,1144,-696,-160
376000,-836,116,15408,1090,-649,-152
378000,-856,160,15452,1014,-567,-146
380000,-856,224,15456,958,-449,-157
382000,-868,284,15604,918,-372,-126
384000,-924,392,15572,830,-266,-142
386000,-832,332,15532,766,-135,-123
388000,-880,436,15492,695,11,-116
390000,-860,496,15552,617,143,-82
392000,-892,468,15660,547,233,-126
394000,-952,532,15736,464,353,-111
396000,-972,556,15696,425,494,-81
398004,-996,520,15712,373,583,-50
400000,-924,532,15776,316,686,-69
402000,-1020,556,15852,210,794,-32
404000,-1044,540,15984,169,861,-11
406000,-972,536,16032,143,932,14
408000,-984,564,15972,87,1025,61
410000,-1012,548,16092,23,1035,120
412000,-1004,576,16128,24,1069,163
414000,-1052,600,16180,-17,1066,212
416000,-1108,508,16208,-22,1036,297
418000,-956,476,16180,-62,1018,308
420000,-956,420,16316,-26,1032,381
422000,-936,360,16436,-23,932,454
424004,-956,316,16288,-46,886,507
426004,-840,296,16316,18,824,524
428000,-820,288,16332,16,675,616
430000,-912,204,16348,26,620,649
432000,-828,172,16388,19,557,705
434000,-700,68,16360,63,374,737
436000,-692,60,16440,68,304,770
438000,-688,52,16412,73,161,774
440004,-564,-132,16336,65,-9,829
442000,-572,-132,16368,38,-128,876
444000,-484,-228,16452,57,-261,881
446000,-380,-328,16416,16,-374,891
448004,-276,-372,16476,-14,-513,936
450000,-228,-380,16568,-30,-629,935
452000,-236,-464,16504,-113,-727,959
454000,-164,-464,16536,-149,-829,945
456004,-52,-452,16556,-192,-976,925
458000,44,-564,16332,-258,-1087,897
460000,12,-532,16532,-335,-1117,896
462000,88,-548,16528,-388,-1250,847
464000,64,-556,16540,-482,-1351,799
466000,124,-616,16580,-580,-1426,782
468000,80,-672,16544,-681,-1511,709
470000,112,-708,16676,-743,-1578,709
472000,152,-732,16660,-885,-1706,643
474000,160,-824,16580,-983,-1722,617
476000,156,-872,16780,-1120,-1787,558
478004,188,-828,16652,-1257,-1858,478
480000,72,-848,16916,-1366,-1888,430
482000,148,-844,16784,-1486,-1954,393
484000,132,-796,16928,-1656,-2026,369
486000,172,-928,16840,-1775,-2074,322
488004,208,-836,16828,-1899,-2132,264
490000,116,-904,17120,-2044,-2131,183
492000,224,-876,17088,-2125,-2141,182
494000,148,-828,17032,-2280,-2175,106
496000,176,-828,16976,-2420,-2187,68
498000,148,-828,17056,-2550,-2116,17
500000,192,-840,17072,-2642,-2085,-43
502000,184,-800,17244,-2740,-2045,-97
504000,176,-784,17144,-2860,-1945,-169
506000,252,-812,17368,-2941,-1959,-194
508000,336,-816,17076,-3039,-1913,-250
510000,192,-864,17372,-3103,-1782,-316
512000,272,-840,17292,-3170,-1738,-324
514000,268,-932,17360,-3233,-1697,-397
516000,264,-928,17284,-3243,-1552,-438
518000,320,-996,17436,-3243,-1426,-450
520000,284,-1048,17432,-3285,-1391,-526
522000,320,-1032,17268,-3289,-1367,-578
524000,308,-1100,17332,-3311,-1221,-585
526000,312,-1148,17304,-3303,-1117,-669
528000,248,-1272,17404,-3285,-1021,-702
530000,344,-1244,17380,-3232,-938,-764
532000,380,-1216,17280,-3205,-865,-764
534000,276,-1248,17384,-3124,-768,-807
536000,240,-1304,17380,-3079,-654,-859
538000,224,-1364,17320,-3036,-620,-871
540004,180,-1420,17340,-2988,-513,-956
542000,176,-1408,17200,-2888,-442,-991
544000,148,-1408,17376,-2850,-431,-1014
546000,152,-1492,17288,-2746,-403,-1043
548000,136,-1476,17168,-2611,-353,-1076
550000,152,-1424,17064,-2562,-344,-1138
552000,132,-1500,17136,-2464,-320,-1180
554004,56,-1464,17168,-2334,-281,-1206
556000,-32,-1456,16980,-2216,-315,-1254
558000,-68,-1420,17068,-2099,-318,-1281
560000,-144,-1312,16824,-2039,-326,-1307
562000,-180,-1256,16672,-1932,-337,-1268
564000,-168,-1224,16532,-1883,-353,-1325
566000,-192,-1296,16468,-1787,-365,-1298
568000,-172,-1364,16460,-1705,-373,-1313
570000,-256,-1332,16328,-1590,-395,-1335
572000,-252,-1312,16360,-1514,-431,-1331
574000,-372,-1240,16340,-1422,-497,-1344
576000,-464,-1188,16244,-1351,-533,-1329
578000,-504,-1108,16176,-1254,-626,-1306
580000,-476,-1096,16132,-1210,-636,-1304
582000,-544,-1084,16140,-1169,-679,-1286
584000,-648,-1040,16160,-1099,-764,-1212
586000,-596,-988,16156,-1033,-805,-1169
588000,-612,-984,16160,-1036,-916,-1153
590000,-608,-1004,16112,-936,-1002,-1106
592000,-604,-896,16208,-866,-1035,-1116
594000,-620,-872,16036,-824,-1147,-1074
596000,-636,-772,16028,-803,-1238,-977
598000,-640,-732,16128,-742,-1272,-975
600000,-644,-868,16104,-713,-1362,-901
602000,-632,-848,16040,-670,-1478,-852
604000,-700,-888,15960,-666,-1497,-841
606004,-684,-836,16028,-649,-1587,-803
608000,-632,-884,15908,-628,-1613,-783
610000,-588,-848,15888,-653,-1632,-747
612000,-576,-844,15800,-629,-1620,-677
614000,-612,-804,15752,-656,-1641,-602
616004,-596,-768,15752,-674,-1619,-604
618000,-624,-736,15708,-705,-1575,-549
620000,-568,-768,15708,-732,-1537,-482
622000,-560,-736,15656,-727,-1480,-459
624000,-632,-768,15912,-766,-1439,-397
626000,-696,-344,15224,-921,-1405,-315
628000,-348,-380,14820,-1120,-1338,-310
630000,-400,-676,15292,-1131,-1182,-302
632000,-496,-704,15612,-1180,-1067,-237
634000,-436,-724,15660,-1228,-996,-206
636000,-184,-1092,15912,-1279,-905,-227
638000,-60,-1056,16412,-1247,-830,-232
640000,-228,-768,15796,-1311,-756,-242
642000,-272,-640,15872,-1372,-708,-198
644000,-276,-664,15684,-1451,-601,-190
646000,-220,-660,15524,-1534,-489,-152
648000,-228,-636,15812,-1571,-368,-132
650000,-208,-816,16084,-1570,-251,-87
652000,-236,-916,16364,-1612,-172,-69
654000,-60,-908,16240,-1652,-172,-79
656000,-136,-856,16204,-1714,-64,-30
658000,-160,-784,16044,-1783,-14,-22
660000,-144,-668,16024,-1887,115,-4
662000,-136,-656,15964,-1948,146,56
664000,-164,-572,16060,-2087,203,30
666000,-136,-648,16100,-2125,228,112
668000,-112,-652,16228,-2168,319,110
670004,-60,-588,16300,-2193,327,139
672000,52,-740,16336,-2287,333,153
674000,128,-844,16572,-2292,368,113
676000,8,-900,16676,-2300,394,154
678004,-28,-816,16712,-2293,358,171
680000,-92,-836,16800,-2262,366,202
682004,-112,-832,16920,-2249,280,222
684000,-12,-876,16920,-2185,275,235
686000,80,-972,16892,-2163,188,259
688000,84,-1104,16996,-2116,173,242
690000,160,-1092,17064,-2113,71,232
692000,144,-1112,17036,-2034,14,225
694000,120,-1120,17068,-1972,-86,214
696000,168,-1096,17124,-1915,-161,218
698000,84,-1204,17220,-1846,-264,237
700000,128,-1212,17220,-1744,-420,229
702000,156,-1300,17260,-1693,-519,228
704000,128,-1388,17240,-1632,-583,260
706000,100,-1404,17312,-1552,-670,204
708000,72,-1364,17288,-1489,-774,226
710000,88,-1404,17288,-1412,-819,206
712000,-4,-1268,17308,-1335,-917,212
714000,28,-1252,17384,-1277,-899,214
716000,-12,-1156,17156,-1211,-1001,215
718000,-64,-1092,17224,-1132,-1006,244
720000,-76,-1112,17196,-1097,-1024,247
722000,-148,-952,17192,-1061,-1017,242
724000,-124,-956,17308,-1005,-1066,278
726000,-116,-848,17228,-955,-1096,304
